"fixture_id","sensor_id","x","y","floor_id","state","current_profile","model_no","manufacturer","type","energy","length","name","morning_profile_id","day_profile_id","evening_profile_id","night_profile_id","morning_profile_weekend","day_profile_weekend","evening_profile_weekend","night_profile_weekend","morning_profile_holiday","day_profile_holiday","evening_profile_holiday","night_profile_holiday","profile_configuration_id"
"3","Sensor6ee31b",0,0,"1","DELETED","Default","FS-D2-2","Philips                                                                                                                         ","T8                                                                                                                              ",17,"24","Default","1","2","3","4","5","6","7","8","9","10","11","12","1"
"4","Sensor6ee349",0,0,"1","DELETED","Default","FS-D2-2","Philips                                                                                                                         ","T8                                                                                                                              ",17,"24","Default","1","2","3","4","5","6","7","8","9","10","11","12","1"
"5","Sensor6ee26e",2743,1756,"1","DELETED","ECS 83 Classroom","FS-D2-2","Lunera                                                                                                                          ","LED                                                                                                                             ",32,"48","ECS 83 Classroom","434","435","436","437","438","439","440","441","442","443","444","445","29"
"7","Sensor6ee353",0,0,"1","DELETED","Default","FS-D2-2","Philips                                                                                                                         ","T8                                                                                                                              ",17,"24","Default","1","2","3","4","5","6","7","8","9","10","11","12","1"
"8","Sensor6ee32d",0,0,"1","DELETED","Default","FS-D2-2","Philips                                                                                                                         ","T8                                                                                                                              ",17,"24","Default","1","2","3","4","5","6","7","8","9","10","11","12","1"
"9","Sensor6ee32c",3060,1936,"1","DELETED","ECS 83 Classroom","FS-D2-2","Lunera                                                                                                                          ","LED                                                                                                                             ",32,"48","ECS 83 Classroom","434","435","436","437","438","439","440","441","442","443","444","445","29"
"10","Sensor6ee307",0,0,"1","DELETED","Default","FS-D2-2","Philips                                                                                                                         ","T8                                                                                                                              ",17,"24","Default","1","2","3","4","5","6","7","8","9","10","11","12","1"
"11","Sensor6ee343",0,0,"1","DELETED","Default","FS-D2-2","Philips                                                                                                                         ","T8                                                                                                                              ",17,"24","Default","1","2","3","4","5","6","7","8","9","10","11","12","1"
"12","Sensor6ee354",3161,1663,"1","DELETED","ECS 83 Classroom","FS-D2-2","Lunera                                                                                                                          ","LED                                                                                                                             ",32,"48","ECS 83 Classroom","434","435","436","437","438","439","440","441","442","443","444","445","29"
"13","Sensor6ee327",0,0,"1","DELETED","Default","FS-D2-2","Philips                                                                                                                         ","T8                                                                                                                              ",17,"24","Default","1","2","3","4","5","6","7","8","9","10","11","12","1"
